token,count,rank,per_1k
часть,17,695,0.1994
первое,17,696,0.1994
изредка,17,697,0.1994
отыскивая,17,698,0.1994
чувствуя,17,699,0.1994
сердито,17,700,0.1994
столу,17,701,0.1994
читать,17,702,0.1994
волнения,17,703,0.1994
пьером,17,704,0.1994
именно,17,705,0.1994
женщин,17,706,0.1994
крик,17,707,0.1994
наши,17,708,0.1994
ти,17,709,0.1994
спать,17,710,0.1994
mais,17,711,0.1994
раза,17,712,0.1994
увидала,17,713,0.1994
ne,17,714,0.1994
выйти,17,715,0.1994
немного,17,716,0.1994
человеком,17,717,0.1994
молодые,17,718,0.1994
приедет,17,719,0.1994
дочь,17,720,0.1994
положение,17,721,0.1994
желаю,17,722,0.1994
принял,17,723,0.1994
андреем,17,724,0.1994
улыбнулась,17,725,0.1994
болконский,17,726,0.1994
курагин,17,727,0.1994
приехали,16,728,0.1877
вон,16,729,0.1877
сторон,16,730,0.1877
отвечать,16,731,0.1877
почувствовал,16,732,0.1877
выше,16,733,0.1877
жениться,16,734,0.1877
смеясь,16,735,0.1877
шагов,16,736,0.1877
продолжала,16,737,0.1877
делал,16,738,0.1877
туда,16,739,0.1877
зале,16,740,0.1877
клуба,16,741,0.1877
женою,16,742,0.1877
душа,16,743,0.1877
целый,16,744,0.1877
солдат,16,745,0.1877
ночь,16,746,0.1877
шел,16,747,0.1877
другим,16,748,0.1877
впереди,16,749,0.1877
дал,16,750,0.1877
безухова,16,751,0.1877
слушая,16,752,0.1877
могут,16,753,0.1877
часов,16,754,0.1877
чему,16,755,0.1877
руках,16,756,0.1877
неожиданно,16,757,0.1877
м,16,758,0.1877
хуже,16,759,0.1877
княжну,16,760,0.1877
du,16,761,0.1877
доктор,16,762,0.1877
вслед,16,763,0.1877
положении,16,764,0.1877
петь,16,765,0.1877
проговорила,16,766,0.1877
счастие,16,767,0.1877
заметила,16,768,0.1877
цели,16,769,0.1877
ритор,16,770,0.1877
говоря,16,771,0.1877
рукой,16,772,0.1877
зло,16,773,0.1877
вижу,16,774,0.1877
москвы,15,775,0.176
лошадь,15,776,0.176
также,15,777,0.176
дальше,15,778,0.176
одном,15,779,0.176
старая,15,780,0.176
писал,15,781,0.176
утро,15,782,0.176
николинька,15,783,0.176
говори,15,784,0.176
диване,15,785,0.176
навсегда,15,786,0.176
сделала,15,787,0.176
однако,15,788,0.176
мундире,15,789,0.176
чувствовать,15,790,0.176
обществе,15,791,0.176
скажи,15,792,0.176
багратион,15,793,0.176
скажите,15,794,0.176
трудно,15,795,0.176
дорогу,15,796,0.176
окна,15,797,0.176
внимание,15,798,0.176
другими,15,799,0.176
мое,15,800,0.176
верить,15,801,0.176
двумя,15,802,0.176
ею,15,803,0.176
кончено,15,804,0.176
лежал,15,805,0.176
матерью,15,806,0.176
молодых,15,807,0.176
решил,15,808,0.176
речи,15,809,0.176
образ,15,810,0.176
навстречу,15,811,0.176
понимая,15,812,0.176
барышня,15,813,0.176
моей,15,814,0.176
николаю,15,815,0.176
духа,15,816,0.176
частью,15,817,0.176
слышать,15,818,0.176
трех,15,819,0.176
перебил,15,820,0.176
бывало,15,821,0.176
боялся,15,822,0.176
цель,15,823,0.176
другом,15,824,0.176
ложе,15,825,0.176
счастлива,15,826,0.176
ростовой,15,827,0.176
волк,15,828,0.176
крыльцо,14,829,0.1642
передней,14,830,0.1642
большую,14,831,0.1642
михайловна,14,832,0.1642
ждал,14,833,0.1642
шаги,14,834,0.1642
всякую,14,835,0.1642
рядом,14,836,0.1642
счастлив,14,837,0.1642
улыбка,14,838,0.1642
мужчина,14,839,0.1642
мужчины,14,840,0.1642
помнишь,14,841,0.1642
пускай,14,842,0.1642
дурак,14,843,0.1642
иначе,14,844,0.1642
неловко,14,845,0.1642
боялась,14,846,0.1642
никак,14,847,0.1642
души,14,848,0.1642
влюблена,14,849,0.1642
таких,14,850,0.1642
людям,14,851,0.1642
болконского,14,852,0.1642
сказав,14,853,0.1642
большое,14,854,0.1642
решительно,14,855,0.1642
приятно,14,856,0.1642
действительно,14,857,0.1642
опустив,14,858,0.1642
дуэли,14,859,0.1642
ростовым,14,860,0.1642
имеет,14,861,0.1642
принять,14,862,0.1642
держал,14,863,0.1642
дни,14,864,0.1642
сторону,14,865,0.1642
смерть,14,866,0.1642
представлялось,14,867,0.1642
робко,14,868,0.1642
жена,14,869,0.1642
des,14,870,0.1642
неделю,14,871,0.1642
ma,14,872,0.1642
ребенка,14,873,0.1642
дороге,14,874,0.1642
холодно,14,875,0.1642
бал,14,876,0.1642
играть,14,877,0.1642
отцом,14,878,0.1642
столом,14,879,0.1642
нечего,14,880,0.1642
приехать,14,881,0.1642
последний,14,882,0.1642
офицер,14,883,0.1642
смерти,14,884,0.1642
me,14,885,0.1642
наших,14,886,0.1642
необходимо,14,887,0.1642
возможность,14,888,0.1642
вилларский,14,889,0.1642
ордена,14,890,0.1642
pour,14,891,0.1642
se,14,892,0.1642
называл,14,893,0.1642
бонапарте,14,894,0.1642
деревне,14,895,0.1642
далеко,14,896,0.1642
александр,14,897,0.1642
другая,14,898,0.1642
перонская,14,899,0.1642
илагин,14,900,0.1642
угол,13,901,0.1525
чаю,13,902,0.1525
первая,13,903,0.1525
поздно,13,904,0.1525
вопросы,13,905,0.1525
силах,13,906,0.1525
всему,13,907,0.1525
одни,13,908,0.1525
показалось,13,909,0.1525
словом,13,910,0.1525
борису,13,911,0.1525
громко,13,912,0.1525
хорош,13,913,0.1525
встала,13,914,0.1525
вернувшись,13,915,0.1525
бывал,13,916,0.1525
воли,13,917,0.1525
лицами,13,918,0.1525
сыном,13,919,0.1525
часу,13,920,0.1525
солдаты,13,921,0.1525
близко,13,922,0.1525
строго,13,923,0.1525
залы,13,924,0.1525
груди,13,925,0.1525
cher,13,926,0.1525
вместо,13,927,0.1525
верю,13,928,0.1525
значит,13,929,0.1525
утра,13,930,0.1525
ночи,13,931,0.1525
позвольте,13,932,0.1525
блестящими,13,933,0.1525
грустно,13,934,0.1525
плечами,13,935,0.1525
этою,13,936,0.1525
женщина,13,937,0.1525
горя,13,938,0.1525
виновата,13,939,0.1525
dans,13,940,0.1525
силой,13,941,0.1525
офицеров,13,942,0.1525
мира,13,943,0.1525
отцу,13,944,0.1525
марью,13,945,0.1525
шла,13,946,0.1525
вследствие,13,947,0.1525
книгу,13,948,0.1525
сестру,13,949,0.1525
черными,13,950,0.1525
приезд,13,951,0.1525
дней,13,952,0.1525
новой,13,953,0.1525
звуки,13,954,0.1525
сердце,13,955,0.1525
полк,13,956,0.1525
ногу,13,957,0.1525
господа,13,958,0.1525
карты,13,959,0.1525
судить,13,960,0.1525
братство,13,961,0.1525
великий,13,962,0.1525
au,13,963,0.1525
général,13,964,0.1525
обедать,13,965,0.1525
лиц,13,966,0.1525
какою,13,967,0.1525
видала,13,968,0.1525
гончих,13,969,0.1525
диммлер,13,970,0.1525
дмитриевны,13,971,0.1525
ехал,12,972,0.1408
дому,12,973,0.1408
поднял,12,974,0.1408
грудь,12,975,0.1408
платья,12,976,0.1408
голосов,12,977,0.1408
отлично,12,978,0.1408
пожалуста,12,979,0.1408
никакого,12,980,0.1408
спрашивала,12,981,0.1408
говоришь,12,982,0.1408
показалась,12,983,0.1408
столько,12,984,0.1408
пойду,12,985,0.1408
первую,12,986,0.1408
проводил,12,987,0.1408
вспоминал,12,988,0.1408
клубе,12,989,0.1408
ходил,12,990,0.1408
редко,12,991,0.1408
батюшка,12,992,0.1408
оттуда,12,993,0.1408
велел,12,994,0.1408
офицеры,12,995,0.1408
рода,12,996,0.1408
столь,12,997,0.1408
толпу,12,998,0.1408
диван,12,999,0.1408
помощи,12,1000,0.1408
поле,12,1001,0.1408
готово,12,1002,0.1408
отворилась,12,1003,0.1408
нашей,12,1004,0.1408
ног,12,1005,0.1408
жене,12,1006,0.1408
вид,12,1007,0.1408
передать,12,1008,0.1408
делах,12,1009,0.1408
одною,12,1010,0.1408
забыть,12,1011,0.1408
вздор,12,1012,0.1408
сравнении,12,1013,0.1408
моих,12,1014,0.1408
заплакала,12,1015,0.1408
верил,12,1016,0.1408
посмотрела,12,1017,0.1408
маленькой,12,1018,0.1408
слышала,12,1019,0.1408
сзади,12,1020,0.1408
волос,12,1021,0.1408
страха,12,1022,0.1408
наше,12,1023,0.1408
николаем,12,1024,0.1408
девушки,12,1025,0.1408
понимать,12,1026,0.1408
находился,12,1027,0.1408
танцовать,12,1028,0.1408
услыхал,12,1029,0.1408
правду,12,1030,0.1408
вышли,12,1031,0.1408
менее,12,1032,0.1408
записку,12,1033,0.1408
необходимость,12,1034,0.1408
мною,12,1035,0.1408
должна,12,1036,0.1408
одному,12,1037,0.1408
людьми,12,1038,0.1408
казался,12,1039,0.1408
мою,12,1040,0.1408
женой,12,1041,0.1408
ждать,12,1042,0.1408
внимательно,12,1043,0.1408
ложи,12,1044,0.1408
какого,12,1045,0.1408
человеку,12,1046,0.1408
имела,12,1047,0.1408
службы,12,1048,0.1408
avec,12,1049,0.1408
безуховой,12,1050,0.1408
россии,12,1051,0.1408
небо,12,1052,0.1408
крестьян,12,1053,0.1408
полку,12,1054,0.1408
наполеона,12,1055,0.1408
писала,12,1056,0.1408
карай,12,1057,0.1408
метивье,12,1058,0.1408
мере,11,1059,0.129
положением,11,1060,0.129
видишь,11,1061,0.129
узнав,11,1062,0.129
барина,11,1063,0.129
слава,11,1064,0.129
полу,11,1065,0.129
ждала,11,1066,0.129
поцеловала,11,1067,0.129
покраснел,11,1068,0.129
час,11,1069,0.129
пришли,11,1070,0.129
первой,11,1071,0.129
мужчин,11,1072,0.129
халате,11,1073,0.129
гораздо,11,1074,0.129
мир,11,1075,0.129
прощай,11,1076,0.129
другу,11,1077,0.129
просила,11,1078,0.129
каких,11,1079,0.129
войне,11,1080,0.129
взять,11,1081,0.129
мои,11,1082,0.129
молодежь,11,1083,0.129
слышали,11,1084,0.129
членов,11,1085,0.129
известие,11,1086,0.129
растопчин,11,1087,0.129
делали,11,1088,0.129
провел,11,1089,0.129
кое,11,1090,0.129
везде,11,1091,0.129
узнать,11,1092,0.129
торопливо,11,1093,0.129
стороне,11,1094,0.129
обедом,11,1095,0.129
рук,11,1096,0.129
бросил,11,1097,0.129
тою,11,1098,0.129
отношения,11,1099,0.129
дуэль,11,1100,0.129
вообще,11,1101,0.129
полно,11,1102,0.129
секунду,11,1103,0.129
последние,11,1104,0.129
лес,11,1105,0.129
снег,11,1106,0.129
сделали,11,1107,0.129
сих,11,1108,0.129
леса,11,1109,0.129
делает,11,1110,0.129
горе,11,1111,0.129
представить,11,1112,0.129
утром,11,1113,0.129
