name,name_lower,chapter_idx,count
Жорж Дандэн,жорж дандэн,0,1
Жюли,жюл,0,30
Жюли Карагина,жюл караг,0,2
Жюли Карагиной,жюл карагин,0,2
Забавляйтесь,забавляйтесь,0,1
Заварзинских,заварзинских,0,1
Заглянув,заглянув,0,1
Зала,зал,0,1
Замерз,замерз,0,1
Зарежь,зарежь,0,1
Затвори,затвор,0,1
Захар,захар,0,8
Здоровы,здоров,0,1
Здравия,здрави,0,1
Землянка,землянк,0,1
Золовки,золовк,0,1
Иваном,иван,0,1
"Ивана
Васильевича",иван васильевич,0,1
Иванушка,иванушк,0,5
Иверской,иверск,0,2
Иверскую,иверску,0,1
Игнатка,игнатк,0,1
Иеной,иен,0,1
Иерусалима,иерусалим,0,1
Избрали,избрал,0,1
Изволили,изволил,0,1
Издохла,издохл,0,1
Измученные,измученны,0,1
Илагин,илаг,0,15
Илагины,илагин,0,2
Илагинская,илагинска,0,2
Илагинский,илагинский,0,1
Илагинских,илагинских,0,2
Илагинского,илагинского,0,1
Илагиным,илагиным,0,1
Иллюминатство,иллюминатство,0,1
Иль,иль,0,1
Илья Андреевич,иль андреевич,0,2
Илья Андреевич Ростов,иль андреевич рост,0,1
Илья Андреич,иль андреич,0,27
Илья Андреич Ростов,иль андреич рост,0,2
Ильюшку,ильюшк,0,1
Илюшка,илюшк,0,1
Иогеля,иогел,0,7
Иогель,иогель,0,6
Иосифа Алексеевича,иосиф алексеевич,0,14
Ипатка,ипатк,0,1
Ипполита,ипполит,0,7
"Ирина
Васильевна",ир васильевн,0,1
Искушения,искушени,0,1
Испанцы,испанц,0,1
Исполнив,исполнив,0,1
Италии,итали,0,2
Итальянского,итальянского,0,1
Какова,как,0,1
Каково,каково,0,1
Каменку,каменк,0,2
Каменским,каменским,0,2
Камердинеру,камердинер,0,1
Капельдинер,капельдинер,0,1
Карая,кара,0,3
Карагина,караг,0,3
Карагиной,карагин,0,3
Карагиным,карагиным,0,2
Карагиных,карагиных,0,4
Карай,карай,0,11
Караюшка,караюшк,0,1
Карл Иваныч,карл иваныч,0,2
Карлыч,карлыч,0,1
Киев,ки,0,4
Киеве,киев,0,2
Киевскую,киевску,0,1
Кирила Матвеич,кирил матвеич,0,1
Кирюша,кирюш,0,1
Кишиневе,кишинев,0,1
Клумба,клумб,0,1
Ко,ко,0,1
Козловского,козловского,0,1
Козловскому,козловском,0,1
Коко,коко,0,2
Коля,кол,0,1
Коленкуpa,коленкуpa,0,1
Коленкуре,коленкур,0,1
Колесо,колесо,0,1
Колязина,коляз,0,2
Колязине,колязин,0,1
Коляска,коляск,0,1
Кондратьевна,кондратьевн,0,1
Копаетесь,копаетесь,0,1
Копенгагенский,копенгагенский,0,1
Коренной,коренн,0,2
Корниках,корниках,0,1
Корчеву,корчев,0,2
Корчевский,корчевский,0,1
Кочубей,кочуб,0,3
Кочубея,кочубе,0,5
Кременчуга,кременчуг,0,1
Кремлевскую,кремлевску,0,1
Крещенья,крещень,0,1
Курагин,кураг,0,15
Курагин Анатоль,кураг анатоль,0,1
Курагину,курагин,0,5
Курагиным,курагиным,0,5
Курагиным Ростовой,курагиным ростов,0,1
Курагиных,курагиных,0,1
Курским,курским,0,1
Кутузова,кутуз,0,7
Кутузову,кутузов,0,1
Лаврушка,лаврушк,0,5
Лазарев,лазар,0,11
Лазареву,лазарев,0,2
Лазарчук,лазарчук,0,1
Ланжерона,ланжерон,0,1
Леность,леность,0,1
Лента,лент,0,1
Лестно,лестно,0,1
Лети,лет,0,1
Лизе,лиз,0,8
Линь,линь,0,1
Лови,лов,0,1
Лопухин,лопух,0,1
"Луиза
Ивановна",луиз ивановн,0,5
Лысогорского,лысогорского,0,1
Лысыми Горами,лысым горам,0,2
Лысых Гор,лысых гор,0,3
Льду,льд,0,1
Любезные,любезны,0,1
Людовика,людовик,0,2
Лядовской,лядовск,0,1
Лёлей,лёл,0,1
Ма,ма,0,1
Мавруша,мавруш,0,4
Магазины,магазин,0,1
Магницкий,магницкий,0,6
Магницким,магницким,0,1
Магницкого,магницкого,0,1
Магницкому,магницком,0,1
Мадагаскар,мадагаскар,0,1
Макарин,макар,0,5
Макару Алексеевичу,макар алексеевич,0,1
Макара Алексеича,макар алексеич,0,1
Макарину,макарин,0,2
Макариным,макариным,0,1
Макарка,макарк,0,2
Макеев,маке,0,2
Макеевым,макеевым,0,1
Максимке,максимк,0,1
Малая,мала,0,1
Мамушка,мамушк,0,1
Мари,мар,0,1
Марата,марат,0,1
Марго,марго,0,1
Марков,марк,0,1
Маркитант,маркитант,0,1
Марса,марс,0,1
Марья,марь,0,126
Марье Антоновне,марь антоновн,0,1
Марьей Богдановной,марь богдановн,0,10
Марьи Дмитриевны,марь дмитриевн,0,76
"Марьи Дмитриевны
Ахросимовой",марь дмитриевн ахросимов,0,1
Марья Дмитриевна Пьеру,марь дмитриевн пьер,0,1
Марьи Ивановны,марь ивановн,0,1
Марья Игнатьевна Перонская,марь игнатьевн перонска,0,1
Марьинское,марьинско,0,1
"Матрене
Матвеевне",матрен матвеевн,0,1
Матрешу,матреш,0,4
Матрешка,матрешк,0,1
Маша,маш,0,3
Машенька,машеньк,0,2
Машкин,машк,0,4
Мелюкова,мелюк,0,1
Мелюковой,мелюков,0,1
Мелюковка,мелюковк,0,4
Мелюковым,мелюковым,0,2
Мелюковых,мелюковых,0,5
Мерзавка,мерзавк,0,1
Мерзавцы,мерзавц,0,1
Метивье,метивь,0,9
Механизм,механизм,0,1
Мещерский,мещерский,0,1
Мещерского,мещерского,0,1
Миколке,миколк,0,1
Милка,милк,0,11
Милушка,милушк,0,1
Митинька,митиньк,0,13
Митька,митьк,0,5
Михаил,михаил,0,1
Михаил Захарыч,михаил захарыч,0,1
Михаилом Ивановичем,михаил иванович,0,1
Михаил Иваныч,михаил иваныч,0,1
Михаил Кирилыч,михаил кирилыч,0,1
Михаила Михайловича,михаил михайлович,0,1
Михаил Никанорыч,михаил никанорыч,0,1
Михайла,михайл,0,2
"Михайлу
Михайловичу",михайл михайлович,0,1
Михайловке,михайловк,0,1
Миша,миш,0,2
Могильцах,могильцах,0,1
Молись Богу,молись бог,0,1
Молитвенное,молитвенно,0,1
Молитеном,молитен,0,1
Мольерово,мольерово,0,1
Мортемар,мортемар,0,1
Москвы,москв,0,120
Москве Борис,москв борис,0,1
Москву Пьер,москв пьер,0,1
Москве Ростовы,москв ростов,0,1
Музыканты,музыкант,0,1
Намедни,намедн,0,2
Напиши,напиш,0,4
Наполеон,наполеон,0,40
Наполеон Андрея,наполеон андре,0,1
"Наполеоном
Бонапарте",наполеон бонапарт,0,2
Наполеоновскими,наполеоновским,0,1
Наполеоновского,наполеоновского,0,2
Нарышкина,нарышк,0,4
Нарышкиной,нарышкин,0,1
Нарышкинского,нарышкинского,0,1
Наряд Сони,наряд сон,0,1
Настасья Ивановна,настась ивановн,0,6
Настоящие,настоящи,0,1
Натали,натал,0,8
Наталья,наталь,0,1
Наталью Ильиничну,наталь ильиничн,0,2
Наташа,наташ,0,594
Наташа Борису,наташ борис,0,1
Наташу Ростову,наташ ростов,0,2
Наташиных,наташиных,0,1
Неблагодарная,неблагодарна,0,1
Некое,неко,0,1
Немане,неман,0,2
Несвицкий,несвицкий,0,6
Несвицким,несвицким,0,3
Несвицкого,несвицкого,0,1
Никита,никит,0,2
Никитскому,никитском,0,1
Николин,никол,0,2
Николая,никола,0,56
Николаю Андреевичу,никола андреевич,0,2
Николаю Андреевичу Болконскому,никола андреевич болконском,0,1
Николая Андреича,никола андреич,0,2
Николая Андреича Болконского,никола андреич болконского,0,1
Николая Ростова,никола рост,0,1
Николаем Ростовым,никола ростовым,0,1
Николай,николай,0,156
Николай Андреич,николай андреич,0,5
Николай Андреич Болконский,николай андреич болконский,0,1
Николай Ростов,николай рост,0,6
Николай Соней,николай сон,0,1
Николаша,николаш,0,1
Николинька,николиньк,0,19
Николушка,николушк,0,11
Новиковского,новиковского,0,1
Новосильцева,новосильц,0,1
Нравный,нравный,0,1
Обедало,обедало,0,1
Обезлошадничал,обезлошадничал,0,1
Обер-Шальме,обер-шальм,0,1
Обер-Шельме,обер-шельм,0,1
Обиды,обид,0,1
Обменявшись,обменявшись,0,1
Объедение,объедени,0,1
Ограды,оград,0,1
Одессу,одесс,0,2
Окруженные,окруженны,0,1
Ольденбургском,ольденбургск,0,1
Ольденбургского,ольденбургского,0,3
Ольмюце,ольмюц,0,1
Опекунскому,опекунском,0,1
Опомнился,опомнилс,0,1
Ордену,орден,0,1
Орлова,орл,0,1
Осипом Алексеевичем,осип алексеевич,0,2
Осип Алексеевич Баздеев,осип алексеевич базде,0,1
Осмелюсь,осмелюсь,0,1
Особа,особ,0,1
Оставим,оставим,0,1
Остановившись,остановившись,0,1
Остерман,остерман,0,1
Остзейском,остзейск,0,1
Остроленке,остроленк,0,1
Осунувшееся,осунувшеес,0,1
Отворите,отворит,0,1
Отдай,отдай,0,1
Отдайте,отдайт,0,1
Отказываясь,отказываясь,0,1
Отлучение,отлучени,0,1
Отрадном,отрадн,0,9
Отрадненский,отрадненский,0,2
Отрадное,отрадно,0,5
Отрадного,отрадного,0,2
Отрадному,отрадном,0,1
Отрадным,отрадным,0,1
Отряд Платова,отряд плат,0,1
Оттепель,оттепель,0,1
Отходив,отходив,0,1
Отчаянное,отчаянно,0,1
Очищая,очища,0,1
Павел Тимофеич,павел тимофеич,0,1
Павла,павл,0,3
Павла Ивановича Кутузова,павл иванович кутуз,0,1
Павлоградском,павлоградск,0,2
Павлоградский,павлоградский,0,1
Паниных,паниных,0,1
Париже,париж,0,3
Пашету,пашет,0,1
Паяс,паяс,0,1
Паяц,паяц,0,1
Пелагея Даниловна,пелаге даниловн,0,8
Пелагея Даниловна Мелюкова,пелаге даниловн мелюк,0,1
Пелагеюшкой,пелагеюшк,0,5
Пензы,пенз,0,1
Передай,передай,0,2
Переймешь,переймешь,0,1
Перестань,перестань,0,2
Перехватив,перехватив,0,1
Перонской,перонск,0,2
Перонская,перонска,0,11
Персии,перси,0,1
Персиянин Долохов,персиян долох,0,1
Петя,пет,0,34
Петеньки,петеньк,0,1
Петер,петер,0,1
Петербурге,петербург,0,83
Петербург Борис,петербург борис,0,1
Петербургские,петербургски,0,1
Петергофе,петергоф,0,1
Петра,петр,0,5
Петра Ивановича Багратиона,петр иванович багратион,0,1
Петром Ильичем,петр ильич,0,1
Петра Кирилловича,петр кириллович,0,1
Петр Кирилыч,петр кирилыч,0,1
Петруша,петруш,0,3
Петька,петьк,0,1
Печерская,печерска,0,1
Пили,пил,0,1
Писание,писани,0,4
Платова,плат,0,2
Платовским,платовским,0,1
Поварском,поварск,0,1
Поварскому,поварском,0,1
Поворотливый,поворотливый,0,1
Повсюду,повсюд,0,1
Погляди,погляд,0,1
Поделом,подел,0,1
Подновинскому Балага,подновинском балаг,0,1
Подсаживая Наташу,подсажива наташ,0,1
Подцепила,подцепил,0,1
Пожалу,пожал,0,1
Покушайте,покушайт,0,1
Полусумасшедший,полусумасшедший,0,1
Польше,польш,0,5
